state,date,crop_type,planted_area,production,year,hist_mean_temp,yield
Selangor,2017-01-01,spices,476.2,5875.8,2017,28.1,12.338933221335575
Selangor,2018-01-01,spices,394.9,4984.1,2018,28.25,12.621169916434543
Selangor,2019-01-01,spices,401.4,4712.3,2019,28.5,11.739661185849528
Selangor,2020-01-01,spices,259.7,2742.3,2020,28.35,10.559491721216789
Selangor,2021-01-01,spices,280.4,3672.6,2021,28.0,13.09771754636234
Selangor,2022-01-01,spices,231.8,2871.7,2022,28.05,12.388697152717858
Selangor,2017-01-01,vegetables,2626.1,36690.1,2017,28.1,13.971326301359431
Selangor,2018-01-01,vegetables,2323.9,32258.5,2018,28.25,13.881191101166143
Selangor,2019-01-01,vegetables,2683.4,38795.7,2019,28.5,14.457665648058432
Selangor,2020-01-01,vegetables,2337.7,31659.7,2020,28.35,13.543097916755787
Selangor,2021-01-01,vegetables,2520.6,34051.3,2021,28.0,13.509204157740223
Selangor,2022-01-01,vegetables,2365.4,32896.7,2022,28.05,13.907457512471462
